id_familia,idade,sexo,escolaridade,renda_familiar,qtd_pessoas_familia,possui_deficiencia,situacao_trabalho,tipo_moradia,acesso_agua,acesso_esgoto,recebe_bolsa_familia,cod_municipio,renda_per_capita,vulnerabilidade_idade,infraestrutura_adequada,escolaridade_baixa,situacao_trabalho_precaria,superlotacao,renda_per_capita_norm,score_vulnerabilidade,nivel_vulnerabilidade
32004.0,54,F,0,0.0,3,1,0,1,0,0,1,2700300,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
32029.0,43,F,0,0.0,3,1,0,1,1,0,0,2704104,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
32070.0,71,F,0,312.0,3,1,0,1,1,1,0,2707701,104.0,1,1,1,1,0,-0.22271005526225618,0.5668130165786769,Muito Alta
32073.0,30,F,0,33.0,3,1,0,1,1,0,1,2708600,11.0,0,0,1,1,0,-0.5289682820713689,0.6086904846214106,Muito Alta
32094.0,33,F,0,50.0,4,1,0,1,1,1,1,2705507,12.5,0,1,1,1,0,-0.5240286332518671,0.45720858997556013,Alta
32152.0,34,M,0,0.0,1,1,0,1,0,0,1,2703700,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
32175.0,26,F,0,0.0,2,1,0,1,1,1,1,2707701,0.0,0,1,1,1,0,-0.5651923734143823,0.46955771202431473,Alta
32223.0,16,F,3,0.0,2,1,0,1,1,1,1,2705507,0.0,1,1,0,1,0,-0.5651923734143823,0.5195577120243147,Muito Alta
32344.0,47,F,0,0.0,5,0,1,1,0,0,1,2702900,0.0,0,0,1,1,0,-0.5651923734143823,0.5195577120243147,Muito Alta
32532.0,25,F,0,29.0,2,1,1,2,0,0,1,2702355,14.5,0,0,1,1,0,-0.5174424348258647,0.6052327304477594,Muito Alta
32559.0,60,F,0,318.0,3,1,0,1,1,0,0,2705200,106.0,0,0,1,1,0,-0.21612385683625374,0.5148371570508761,Muito Alta
32640.0,33,F,0,20.0,6,1,0,1,0,0,1,2702900,3.3333333333333335,0,0,1,1,1,-0.5542153760377115,0.7162646128113135,Muito Alta
32657.0,19,F,0,0.0,2,1,0,1,1,0,1,2708600,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
32674.0,39,F,0,40.0,1,1,1,1,1,1,1,2707701,40.0,0,1,1,1,0,-0.4334684048943338,0.4300405214683002,Alta
32751.0,14,F,2,10.0,2,1,0,1,1,0,1,2702900,5.0,1,0,1,1,0,-0.5487268773493762,0.8146180632048129,Muito Alta
32821.0,28,F,0,43.0,3,1,1,1,1,0,1,2700300,14.333333333333334,0,0,1,1,0,-0.5179912846946982,0.6053973854084095,Muito Alta
32853.0,49,M,0,66.0,3,1,0,1,0,1,1,2706901,22.0,0,0,1,1,0,-0.4927441907283556,0.5978232572185067,Muito Alta
32870.0,22,F,0,50.0,4,1,0,1,1,0,1,2704005,12.5,0,0,1,1,0,-0.5240286332518671,0.60720858997556,Muito Alta
32893.0,63,F,0,1600.0,1,1,1,1,0,0,0,2704708,1600.0,0,0,1,1,0,4.703766367387558,-0.9611299102162675,Baixa
32951.0,22,F,0,100.0,3,1,0,2,0,0,1,2707701,33.333333333333336,0,0,1,1,0,-0.45542239964767517,0.5866267198943026,Muito Alta
32975.0,53,M,0,50.0,1,1,0,1,1,1,1,2708600,50.0,0,1,1,1,0,-0.40053741276432164,0.42016122382929655,Alta
32976.0,40,F,0,880.0,2,1,0,1,1,0,0,2706901,440.0,0,0,1,1,0,0.8837712803061513,0.18486861590815462,Alta
32979.0,27,F,0,25.0,2,1,0,1,1,0,1,2700300,12.5,0,0,1,1,0,-0.5240286332518671,0.60720858997556,Muito Alta
33041.0,32,F,0,73.0,3,1,1,1,1,0,0,2707701,24.333333333333332,0,0,1,1,0,-0.4850602925646861,0.5955180877694058,Muito Alta
33080.0,55,F,0,125.0,2,1,0,1,1,1,1,2700300,62.5,0,1,1,1,0,-0.3593736726018065,0.40781210178054195,Alta
33112.0,35,F,0,3.0,11,1,0,1,1,0,1,2702355,0.2727272727272727,0,0,1,1,1,-0.5642942554472001,0.71928827663416,Muito Alta
33129.0,19,F,0,75.0,2,1,0,1,1,1,1,2708600,37.5,0,1,1,1,0,-0.4417011529268368,0.43251034587805104,Alta
33207.0,43,M,0,33.0,1,1,1,1,0,0,1,2708808,33.0,0,0,1,1,0,-0.45652009938534227,0.5869560298156027,Muito Alta
33300.0,53,F,0,300.0,1,1,0,1,1,0,0,2700300,300.0,0,0,1,1,0,0.4227373904859815,0.32317878285420554,Alta
33301.0,21,F,0,58.0,3,1,0,1,1,0,1,2700300,19.333333333333332,0,0,1,1,0,-0.5015257886296921,0.6004577365889076,Muito Alta
33326.0,33,F,0,56.0,3,1,0,1,1,1,1,2706901,18.666666666666668,0,1,1,1,0,-0.5037211881050263,0.45111635643150794,Alta
33450.0,74,F,0,954.0,1,1,0,1,0,0,0,2708808,954.0,1,0,1,1,0,2.5764242757887743,-0.12292728273663225,Média
33522.0,59,F,0,889.0,2,1,1,1,1,0,0,2707701,444.5,0,0,1,1,0,0.8985902267646567,0.180422931970603,Alta
33542.0,33,F,0,0.0,4,1,0,1,1,0,1,2701506,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
33581.0,41,F,0,50.0,1,1,1,1,0,0,1,2707701,50.0,0,0,1,1,0,-0.40053741276432164,0.5701612238292965,Muito Alta
33639.0,48,F,0,50.0,4,0,0,1,1,0,1,2700409,12.5,0,0,1,1,0,-0.5240286332518671,0.5072085899755601,Muito Alta
33690.0,23,F,0,83.0,3,1,0,1,1,0,1,2707701,27.666666666666668,0,0,1,1,0,-0.47408329518801545,0.5922249885564047,Muito Alta
33842.0,31,F,0,4.0,4,1,1,1,1,1,1,2706901,1.0,0,1,1,1,0,-0.5618992742013811,0.46856978226041435,Alta
33993.0,30,F,0,225.0,4,1,1,1,1,0,0,2700300,56.25,0,0,1,1,0,-0.3799555426830641,0.5639866628049193,Muito Alta
34014.0,25,F,0,312.0,3,1,0,1,1,1,0,2707701,104.0,0,1,1,1,0,-0.22271005526225618,0.3668130165786768,Alta
34058.0,21,M,0,25.0,1,0,1,1,1,0,1,2704708,25.0,0,0,1,1,0,-0.482864893089352,0.49485946792680563,Alta
